start_detection,end_detection,label,confidence,hr
0,3,1,0.96916795,0.19688831268076018
3,6,1,0.96437454,0.1677373239217032
6,9,1,0.9939351,0.3604383445100977
9,12,1,0.9941481,0.4737677132384509
12,15,1,0.99152696,0.36465850185434734
15,18,1,0.9888695,0.1775221733203563
21,24,1,0.9996922,0.2982359363817197
24,27,1,0.9993882,0.3069516477630864
27,30,1,0.9998697,0.3215063792332132
30,33,1,0.9999868,0.39381097718492564
33,36,1,0.9996558,0.3863232080516599
36,39,1,0.9923994,0.6855105327577607
39,42,1,0.9859331,0.5133539604092202
42,45,1,0.9992877,0.4218916072084176
45,48,1,0.9999718,0.17323824108705524
48,51,1,0.9999916,0.25183955919588075
51,54,1,0.99074703,0.15690838861305073
54,57,1,0.98054683,0.18675493193846085
